Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
PJ.10-02a,Reporting_Period,Q1-2019,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q2-2019,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Reporting_Period,Q4-2019,0,0,0,1,1,0
PJ.10-02a,Review,Q4-2016,0,0,0,0,0,0
PJ.10-02a,Review,Q1-2017,0,0,0,0,0,0
PJ.10-02a,Review,Q2-2017,0,0,0,0,0,0
PJ.10-02a,Review,Q3-2017,0,0,0,0,0,0
PJ.10-02a,Review,Q4-2017,0,0,0,0,0,0
PJ.10-02a,Review,Q1-2018,0,0,0,0,0,0
PJ.10-02a,Review,Q2-2018,0,0,0,0,0,0
PJ.10-02a,Review,Q3-2018,0,0,0,0,0,0
PJ.10-02a,Review,Q4-2018,0,0,0,1,1,0
PJ.10-02a,Review,Q1-2019,0,0,0,0,0,0
PJ.10-02a,Review,Q2-2019,0,0,0,0,0,0
PJ.10-02a,Review,Q3-2019,0,0,0,0,0,0
PJ.10-02a,Review,Q4-2019,0,0,0,1,1,0
PJ.10-02b,Deliverable,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q4-2017,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q2-2018,0,0,0,0,0,0
PJ.10-02b,Deliverable,Q3-2018,0,0,0,4,4,0
PJ.10-02b,Deliverable,Q4-2018,0,0,0,1,1,0
PJ.10-02b,Deliverable,Q1-2019,0,0,0,3,3,0
PJ.10-02b,Deliverable,Q2-2019,0,0,0,2,2,0
PJ.10-02b,Deliverable,Q3-2019,0,0,0,5,5,0
PJ.10-02b,Deliverable,Q4-2019,0,0,0,0,0,0
PJ.10-02b,Milestone,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Milestone,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Milestone,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Milestone,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Milestone,Q4-2017,0,0,0,2,2,0
PJ.10-02b,Milestone,Q1-2018,0,0,0,1,1,0
PJ.10-02b,Milestone,Q2-2018,0,0,0,2,2,0
PJ.10-02b,Milestone,Q3-2018,0,0,0,1,1,0
PJ.10-02b,Milestone,Q4-2018,0,0,0,1,1,0
PJ.10-02b,Milestone,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Milestone,Q2-2019,0,0,0,2,2,0
PJ.10-02b,Milestone,Q3-2019,0,0,0,0,0,0
PJ.10-02b,Milestone,Q4-2019,0,0,0,1,1,0
PJ.10-02b,Validation,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Validation,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Validation,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Validation,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Validation,Q4-2017,0,0,0,1,1,0
PJ.10-02b,Validation,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Validation,Q2-2018,0,0,0,1,1,0
PJ.10-02b,Validation,Q3-2018,0,0,0,4,4,0
PJ.10-02b,Validation,Q4-2018,0,0,0,4,4,0
PJ.10-02b,Validation,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Validation,Q2-2019,0,0,0,1,1,0
PJ.10-02b,Validation,Q3-2019,0,0,0,2,2,0
PJ.10-02b,Validation,Q4-2019,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q4-2017,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q2-2018,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q3-2018,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q4-2018,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q2-2019,0,0,0,1,1,0
PJ.10-02b,Maturity_Gate,Q3-2019,0,0,0,0,0,0
PJ.10-02b,Maturity_Gate,Q4-2019,0,0,0,1,1,0
PJ.10-02b,Work_Package,Q4-2016,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q1-2017,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q2-2017,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q3-2017,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q4-2017,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q1-2018,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q2-2018,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q3-2018,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q4-2018,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q1-2019,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q2-2019,0,0,0,1,1,0
PJ.10-02b,Work_Package,Q3-2019,0,0,0,0,0,0
PJ.10-02b,Work_Package,Q4-2019,0,0,0,1,1,0
PJ.10-02b,Communication,Q4-2016,0,0,0,0,0,0
